Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002174,0.002174,0.000952,2.2824,1.0,0.002174
Barbour,0.001009,0.001009,0.000426,2.3688,1.0,0.001009
Berkeley,0.002844,0.002844,0.000713,2.2782,1.75,0.002844
Boone,0.008067,0.008067,0.001724,2.339,2.0,0.008067
Braxton,0.002143,0.002143,0.000716,2.3261,1.2857,0.002143
Brooke,0.003945,0.003945,0.00082,2.4042,2.0,0.003945
Cabell,0.003903,0.003903,0.000979,2.2851,1.7451,0.003903
Calhoun,0.001284,0.001284,0.000563,2.2824,1.0,0.001284
Clay,0.003197,0.003197,0.000705,2.2667,2.0,0.003197
Doddridge,0.001636,0.001636,0.000473,2.3037,1.5,0.001636
Fayette,0.006706,0.006706,0.001462,2.2932,2.0,0.006706
Gilmer,0.000292,0.000292,0.000128,2.2824,1.0,0.000292
Grant,0.007613,0.007613,0.001642,2.3176,2.0,0.007613
Greenbrier,0.005011,0.005011,0.001067,2.347,2.0,0.005011
Hampshire,0.002931,0.002931,0.000777,2.2202,1.7,0.002931
Hancock,0.007029,0.007029,0.001493,2.3548,2.0,0.007029
Hardy,0.004713,0.004713,0.001016,2.3188,2.0,0.004713
Harrison,0.006296,0.006296,0.001338,2.3526,2.0,0.006296
Jackson,0.004499,0.004499,0.00098,2.2959,2.0,0.004499
Jefferson,0.008673,0.008673,0.00189,2.2946,2.0,0.008673
Kanawha,0.002269,0.002269,0.000584,2.3011,1.6885,0.002269
Lewis,0.005086,0.005086,0.001069,2.3793,2.0,0.005086
Lincoln,0.001116,0.001116,0.00049,2.2768,1.0,0.001116
Logan,0.00509,0.00509,0.001124,2.2638,2.0,0.00509
McDowell,0.010148,0.010148,0.00227,2.2356,2.0,0.010148
Marion,0.003865,0.003865,0.001034,2.2946,1.6286,0.003865
Marshall,0.000929,0.000929,0.000426,2.1812,1.0,0.000929
Mason,0.006166,0.006166,0.00132,2.3355,2.0,0.006166
Mercer,0.007275,0.007275,0.001651,2.2036,2.0,0.007275
Mineral,0.002531,0.002531,0.001117,2.2667,1.0,0.002531
Mingo,0.002075,0.002075,0.000811,2.274,1.125,0.002075
Monongalia,0.004573,0.004573,0.001004,2.2782,2.0,0.004573
Monroe,0.013956,0.013956,0.002938,2.3751,2.0,0.013956
Morgan,0.001131,0.001131,0.000503,2.2469,1.0,0.001131
Nicholas,0.004698,0.004698,0.00098,2.3974,2.0,0.004698
Ohio,0.00364,0.00364,0.000797,2.2838,2.0,0.00364
Pendleton,0.002751,0.002751,0.001004,2.2824,1.2,0.002751
Pleasants,0.000918,0.000918,0.000402,2.2824,1.0,0.000918
Pocahontas,0.00064,0.00064,0.000243,2.6376,1.0,0.00064
Preston,0.002941,0.002941,0.000748,2.2946,1.7143,0.002941
Putnam,0.001333,0.001333,0.000567,2.2754,1.0333,0.001333
Raleigh,0.005094,0.005094,0.001309,2.3355,1.6667,0.005094
Randolph,0.003515,0.003515,0.00122,2.2036,1.3077,0.003515
Ritchie,0.002415,0.002415,0.000523,2.3076,2.0,0.002415
Roane,0.001334,0.001334,0.000584,2.2824,1.0,0.001334
Summers,0.005811,0.005811,0.001829,2.3101,1.375,0.005811
Taylor,0.007591,0.007591,0.001617,2.347,2.0,0.007591
Tucker,0.001758,0.001758,0.000731,2.4052,1.0,0.001758
Tyler,0.001551,0.001551,0.000698,2.2202,1.0,0.001551
Upshur,0.000739,0.000739,0.000331,2.2339,1.0,0.000739
Wayne,0.003649,0.003649,0.000787,2.3188,2.0,0.003649
Webster,0.002551,0.002551,0.001109,2.2998,1.0,0.002551
Wetzel,0.00575,0.00575,0.001328,2.1654,2.0,0.00575
Wirt,0.002414,0.002414,0.000515,2.3424,2.0,0.002414
Wood,0.001059,0.001059,0.000431,2.2453,1.0938,0.001059
Wyoming,0.00433,0.00433,0.001422,2.2838,1.3333,0.00433
