Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001563,0.001563,0.000673,2.3234,1.0,0.001563
Beaverhead,0.001785,0.001785,0.000635,2.2499,1.25,0.001785
Big Horn,0.001231,0.001231,0.00045,2.1853,1.25,0.001231
Blaine,0.001001,0.001001,0.000449,2.2287,1.0,0.001001
Broadwater,0.001586,0.001586,0.000641,2.4724,1.0,0.001586
Carbon,0.001261,0.001261,0.000559,2.2545,1.0,0.001261
Carter,0.003711,0.003711,0.001597,2.3234,1.0,0.003711
Cascade,0.001317,0.001317,0.000553,2.381,1.0,0.001317
Chouteau,0.002184,0.002184,0.000887,2.4616,1.0,0.002184
Custer,0.001062,0.001062,0.000439,2.4209,1.0,0.001062
Daniels,0.008047,0.008047,0.001775,2.2665,2.0,0.008047
Dawson,0.000785,0.000785,0.000348,2.2545,1.0,0.000785
Deer Lodge,0.009614,0.009614,0.002079,2.3123,2.0,0.009614
Fallon,0.000816,0.000816,0.000351,2.3234,1.0,0.000816
Fergus,0.001262,0.001262,0.000543,2.3234,1.0,0.001262
Flathead,0.001284,0.001284,0.000472,2.2665,1.2,0.001284
Gallatin,0.002535,0.002535,0.001075,2.2807,1.0339,0.002535
Garfield,0.001847,0.001847,0.000795,2.3234,1.0,0.001847
Glacier,Unknown,Unknown,0.001382,2.3779,2.0,0.00657
Golden Valley,0.00849,0.00849,0.003654,2.3234,1.0,0.00849
Granite,0.001375,0.001375,0.000592,2.3234,1.0,0.001375
Hill,0.003074,0.003074,0.000728,2.3035,1.8333,0.003074
Jefferson,0.001498,0.001498,0.000491,2.4417,1.25,0.001498
Judith Basin,0.001158,0.001158,0.000498,2.3234,1.0,0.001158
Lake,0.002673,0.002673,0.000952,2.4067,1.1667,0.002673
Lewis and Clark,0.00073,0.00073,0.000274,2.6675,1.0,0.00073
Liberty,0.000994,0.000994,0.000428,2.3234,1.0,0.000994
Lincoln,0.00208,0.00208,0.000751,2.1767,1.2727,0.00208
McCone,0.002793,0.002793,0.001202,2.3234,1.0,0.002793
Madison,0.002143,0.002143,0.000465,2.3035,2.0,0.002143
Meagher,0.001248,0.001248,0.000537,2.3234,1.0,0.001248
Mineral,0.001585,0.001585,0.000682,2.3234,1.0,0.001585
Missoula,0.001732,0.001732,0.000727,2.381,1.0,0.001732
Musselshell,0.00099,0.00099,0.000432,2.2943,1.0,0.00099
Park,0.001658,0.001658,0.000542,2.2943,1.3333,0.001658
Petroleum,0.014312,0.014312,0.00616,2.3234,1.0,0.014312
Phillips,0.001175,0.001175,0.000506,2.3234,1.0,0.001175
Pondera,0.000786,0.000786,0.000338,2.3234,1.0,0.000786
Powder River,0.002763,0.002763,0.001189,2.3234,1.0,0.002763
Powell,0.003779,0.003779,0.000871,2.1699,2.0,0.003779
Prairie,0.002157,0.002157,0.000929,2.3234,1.0,0.002157
Ravalli,0.002435,0.002435,0.000799,2.3305,1.3077,0.002435
Richland,0.004871,0.004871,0.001203,2.361,1.7143,0.004871
Roosevelt,0.003278,0.003278,0.001454,2.2545,1.0,0.003278
Rosebud,0.000266,0.000266,0.000112,2.3769,1.0,0.000266
Sanders,0.00242,0.00242,0.001073,2.2545,1.0,0.00242
Sheridan,0.004655,0.004655,0.001813,2.567,1.0,0.004655
Silver Bow,0.002469,0.002469,0.000601,2.2576,1.8182,0.002469
Stillwater,0.003184,0.003184,0.000622,2.5587,2.0,0.003184
Sweet Grass,0.000622,0.000622,0.000268,2.3234,1.0,0.000622
Teton,0.000768,0.000768,0.000325,2.361,1.0,0.000768
Toole,0.000981,0.000981,0.000422,2.3234,1.0,0.000981
Treasure,0.003338,0.003338,0.001437,2.3234,1.0,0.003338
Valley,0.002311,0.002311,0.000946,2.4417,1.0,0.002311
Wheatland,0.001093,0.001093,0.00047,2.3234,1.0,0.001093
Wibaux,0.002398,0.002398,0.001032,2.3234,1.0,0.002398
Yellowstone,0.001888,0.001888,0.000812,2.3246,1.0,0.001888
