Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.000591,0.000591,0.000263,2.2469,1.0,0.000591
Appling,0.000118,0.000118,5.4e-05,2.1768,1.0,0.000118
Atkinson,0.000275,0.000275,0.000122,2.2469,1.0,0.000275
Bacon,0.000205,0.000205,9e-05,2.2919,1.0,0.000205
Baker,0.002958,0.002958,0.001317,2.2469,1.0,0.002958
Baldwin,0.003156,0.003156,0.000668,2.3613,2.0,0.003156
Banks,0.001227,0.001227,0.000468,2.2946,1.1429,0.001227
Barrow,0.001668,0.001668,0.000372,2.2389,2.0,0.001668
Bartow,0.000998,0.000998,0.000399,2.2623,1.1053,0.000998
Ben Hill,0.002184,0.002184,0.000479,2.2796,2.0,0.002184
Berrien,0.001486,0.001486,0.000516,2.2421,1.2857,0.001486
Bibb,0.000637,0.000637,0.000281,2.2682,1.0,0.000637
Bleckley,0.000181,0.000181,7.8e-05,2.3344,1.0,0.000181
Brantley,0.000117,0.000117,5.2e-05,2.2421,1.0,0.000117
Brooks,0.001945,0.001945,0.000453,2.148,2.0,0.001945
Bryan,0.000592,0.000592,0.000252,2.3447,1.0,0.000592
Bulloch,2.9e-05,2.9e-05,1.3e-05,2.3249,1.0,2.9e-05
Burke,0.000513,0.000513,0.000223,2.2985,1.0,0.000513
Butts,0.000606,0.000606,0.000281,2.1582,1.0,0.000606
Calhoun,0.000345,0.000345,0.000162,2.1341,1.0,0.000345
Camden,0.000242,0.000242,0.00011,2.2055,1.0,0.000242
Candler,0.000208,0.000208,9.3e-05,2.2469,1.0,0.000208
Carroll,0.000703,0.000703,0.0003,2.3436,1.0,0.000703
Catoosa,0.000439,0.000439,0.000192,2.2796,1.0,0.000439
Charlton,0.000167,0.000167,7.5e-05,2.2356,1.0,0.000167
Chatham,0.000551,0.000551,0.000225,2.4517,1.0,0.000551
Chattahoochee,Unknown,Unknown,0.000917,2.3126,1.0,0.00212
Chattooga,0.001041,0.001041,0.000323,2.3037,1.4,0.001041
Cherokee,0.000453,0.000453,0.000197,2.2998,1.0,0.000453
Clarke,0.000709,0.000709,0.000304,2.332,1.0,0.000709
Clay,0.000793,0.000793,0.000353,2.2469,1.0,0.000793
Clayton,0.00045,0.00045,0.000195,2.3063,1.0,0.00045
Clinch,0.000679,0.000679,0.000302,2.2469,1.0,0.000679
Cobb,0.000589,0.000589,0.000262,2.2516,1.0,0.000589
Coffee,5.5e-05,5.5e-05,2.3e-05,2.3993,1.0,5.5e-05
Colquitt,0.000589,0.000589,0.000263,2.2372,1.0,0.000589
Columbia,0.000577,0.000577,0.000249,2.32,1.0,0.000577
Cook,0.001101,0.001101,0.000463,2.3772,1.0,0.001101
Coweta,0.000608,0.000608,0.000263,2.3139,1.0,0.000608
Crawford,0.000184,0.000184,8.1e-05,2.2865,1.0,0.000184
Crisp,0.001778,0.001778,0.000581,2.2946,1.3333,0.001778
Dade,0.000976,0.000976,0.000434,2.2469,1.0,0.000976
