Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.004151,0.004151,0.00183,2.2682,1.0,0.004151
Addison,6.3e-05,6.3e-05,2.7e-05,2.3332,1.0,6.3e-05
Bennington,6.4e-05,6.4e-05,2.8e-05,2.2547,1.0,6.4e-05
Caledonia,7.5e-05,7.5e-05,3.3e-05,2.2547,1.0,7.5e-05
Chittenden,1.4e-05,1.4e-05,6e-06,2.2946,1.0,1.4e-05
Essex,0.000368,0.000368,0.000162,2.2682,1.0,0.000368
Franklin,4.7e-05,4.7e-05,2e-05,2.3237,1.0,4.7e-05
Grand Isle,0.000324,0.000324,0.000138,2.347,1.0,0.000324
Lamoille,0.000101,0.000101,3.9e-05,2.5529,1.0,0.000101
Orange,7.6e-05,7.6e-05,3.5e-05,2.1833,1.0,7.6e-05
Orleans,8.8e-05,8.8e-05,3.7e-05,2.3834,1.0,8.8e-05
Rutland,4.1e-05,4.1e-05,1.7e-05,2.373,1.0,4.1e-05
Washington,3.7e-05,3.7e-05,1.7e-05,2.1746,1.0,3.7e-05
Windham,5.3e-05,5.3e-05,2.4e-05,2.2339,1.0,5.3e-05
Windsor,4.2e-05,4.2e-05,1.8e-05,2.3139,1.0,4.2e-05
