Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001579,0.001579,0.000686,2.3011,1.0,0.001579
Alcona,0.000834,0.000834,0.000384,2.1701,1.0,0.000834
Alger,0.002432,0.002432,0.000549,2.2148,2.0,0.002432
Allegan,0.001007,0.001007,0.000432,2.332,1.0,0.001007
Alpena,0.001469,0.001469,0.000634,2.3188,1.0,0.001469
Antrim,0.000904,0.000904,0.000386,2.3424,1.0,0.000904
Arenac,0.001721,0.001721,0.000739,2.3285,1.0,0.001721
Baraga,0.002387,0.002387,0.001096,2.1768,1.0,0.002387
Barry,0.003891,0.003891,0.000861,2.2593,2.0,0.003891
Bay,0.001231,0.001231,0.000533,2.3076,1.0,0.001231
Benzie,0.001521,0.001521,0.000563,2.4023,1.125,0.001521
Berrien,0.000969,0.000969,0.000424,2.2879,1.0,0.000969
Branch,0.002281,0.002281,0.000896,2.3447,1.0857,0.002281
Calhoun,0.002378,0.002378,0.000924,2.3424,1.0982,0.002378
Cass,0.000961,0.000961,0.000406,2.3699,1.0,0.000961
Charlevoix,0.001015,0.001015,0.000344,2.2111,1.3333,0.001015
Cheboygan,0.001411,0.001411,0.000633,2.2289,1.0,0.001411
Chippewa,0.001605,0.001605,0.000696,2.3063,1.0,0.001605
Clare,0.002945,0.002945,0.001131,2.3741,1.0968,0.002945
Clinton,0.001122,0.001122,0.000477,2.3492,1.0,0.001122
Crawford,0.000998,0.000998,0.000428,2.3344,1.0,0.000998
Delta,0.004388,0.004388,0.00123,2.2405,1.5926,0.004388
Dickinson,0.00365,0.00365,0.001308,2.2682,1.2308,0.00365
Eaton,0.00137,0.00137,0.000571,2.3974,1.0,0.00137
Emmet,0.002355,0.002355,0.000539,2.1855,2.0,0.002355
Genesee,0.002048,0.002048,0.000749,2.3011,1.1882,0.002048
Gladwin,0.001443,0.001443,0.000629,2.2959,1.0,0.001443
Gogebic,0.002314,0.002314,0.001002,2.3101,1.0,0.002314
Grand Traverse,0.000618,0.000618,0.000269,2.3011,1.0,0.000618
Gratiot,0.002703,0.002703,0.001204,2.2453,1.0,0.002703
Hillsdale,0.004292,0.004292,0.001338,2.4603,1.3043,0.004292
Houghton,0.003195,0.003195,0.001345,2.3751,1.0,0.003195
Huron,0.000742,0.000742,0.000323,2.2985,1.0,0.000742
Ingham,0.001707,0.001707,0.000715,2.3884,1.0,0.001707
Ionia,0.002048,0.002048,0.000634,2.3424,1.3793,0.002048
Iosco,0.00129,0.00129,0.000358,2.2516,1.6,0.00129
Iron,0.002717,0.002717,0.001175,2.3126,1.0,0.002717
Isabella,0.001536,0.001536,0.000458,2.2725,1.4762,0.001536
Jackson,0.002248,0.002248,0.000858,2.2323,1.1739,0.002248
Kalamazoo,0.001306,0.001306,0.000536,2.4385,1.0,0.001306
Kalkaska,0.002889,0.002889,0.000776,2.2906,1.625,0.002889
Kent,0.001028,0.001028,0.000443,2.32,1.0,0.001028
Keweenaw,0.002319,0.002319,0.000945,2.4534,1.0,0.002319
Lake,0.002543,0.002543,0.001181,2.1531,1.0,0.002543
Lapeer,0.001959,0.001959,0.000616,2.2782,1.3947,0.001959
Leelanau,0.001104,0.001104,0.00046,2.4032,1.0,0.001104
Lenawee,0.002443,0.002443,0.000985,2.2985,1.0787,0.002443
Livingston,0.001305,0.001305,0.000568,2.2782,1.0093,0.001305
Luce,0.005172,0.005172,0.001124,2.3011,2.0,0.005172
Mackinac,0.003409,0.003409,0.000741,2.3011,2.0,0.003409
Macomb,0.002344,0.002344,0.000898,2.3063,1.1313,0.002344
Manistee,0.000652,0.000652,0.000285,2.2865,1.0,0.000652
Marquette,0.00434,0.00434,0.001634,2.3854,1.1134,0.00434
Mason,0.001263,0.001263,0.000549,2.3011,1.0,0.001263
Mecosta,0.001087,0.001087,0.000483,2.2485,1.0,0.001087
Menominee,0.002367,0.002367,0.00101,2.3447,1.0,0.002367
Midland,0.001448,0.001448,0.000613,2.3139,1.0204,0.001448
Missaukee,0.000978,0.000978,0.000397,2.4645,1.0,0.000978
Monroe,0.001759,0.001759,0.000757,2.3011,1.0089,0.001759
Montcalm,0.001165,0.001165,0.000423,2.2271,1.2381,0.001165
Montmorency,0.000969,0.000969,0.000429,2.2593,1.0,0.000969
Muskegon,0.001709,0.001709,0.000651,2.32,1.1313,0.001709
Newaygo,0.000988,0.000988,0.000429,2.305,1.0,0.000988
Oakland,0.001442,0.001442,0.000626,2.3037,1.0,0.001442
Oceana,0.005237,0.005237,0.001171,2.2356,2.0,0.005237
Ogemaw,0.000766,0.000766,0.000333,2.2985,1.0,0.000766
Ontonagon,0.001599,0.001599,0.000699,2.2865,1.0,0.001599
Osceola,0.004028,0.004028,0.000895,2.2501,2.0,0.004028
Oscoda,0.000838,0.000838,0.000364,2.3011,1.0,0.000838
Otsego,0.001103,0.001103,0.000486,2.2682,1.0,0.001103
Ottawa,0.001029,0.001029,0.000442,2.3273,1.0,0.001029
Presque Isle,0.000337,0.000337,0.000159,2.1186,1.0,0.000337
Roscommon,0.001145,0.001145,0.000458,2.2501,1.1111,0.001145
Saginaw,0.001171,0.001171,0.000504,2.2501,1.0326,0.001171
St. Clair,0.000852,0.000852,0.000377,2.2608,1.0,0.000852
St. Joseph,0.00079,0.00079,0.000328,2.4071,1.0,0.00079
Sanilac,0.000675,0.000675,0.000291,2.3163,1.0,0.000675
Schoolcraft,0.000285,0.000285,0.000124,2.3076,1.0,0.000285
Shiawassee,0.001482,0.001482,0.000617,2.4032,1.0,0.001482
Tuscola,0.001432,0.001432,0.000612,2.3378,1.0,0.001432
Van Buren,0.002006,0.002006,0.000621,2.3874,1.3529,0.002006
Washtenaw,0.001335,0.001335,0.000596,2.2405,1.0,0.001335
Wayne,0.002135,0.002135,0.000923,2.3139,1.0,0.002135
Wexford,0.000793,0.000793,0.000357,2.2219,1.0,0.000793
