Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002336,0.002336,0.00102,2.2906,1.0,0.002336
Androscoggin,0.002638,0.002638,0.001108,2.3803,1.0,0.002638
Aroostook,0.001925,0.001925,0.000835,2.305,1.0,0.001925
Cumberland,0.002089,0.002089,0.000898,2.3261,1.0,0.002089
Franklin,0.001604,0.001604,0.000662,2.4213,1.0,0.001604
Hancock,0.001658,0.001658,0.000709,2.3378,1.0,0.001658
Kennebec,0.004503,0.004503,0.001112,2.2796,1.7763,0.004503
Knox,0.001906,0.001906,0.000805,2.3688,1.0,0.001906
Lincoln,0.002565,0.002565,0.001068,2.4013,1.0,0.002565
Oxford,0.004628,0.004628,0.001621,2.3635,1.2078,0.004628
Penobscot,0.00395,0.00395,0.001696,2.3296,1.0,0.00395
Piscataquis,0.00196,0.00196,0.000894,2.1937,1.0,0.00196
Sagadahoc,0.002174,0.002174,0.000892,2.4359,1.0,0.002174
Somerset,0.002635,0.002635,0.001149,2.2932,1.0,0.002635
Waldo,0.001901,0.001901,0.000831,2.2879,1.0,0.001901
Washington,0.002145,0.002145,0.000765,2.3163,1.2105,0.002145
York,0.001944,0.001944,0.000857,2.2682,1.0,0.001944
