Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.0015,0.0015,0.000675,2.2202,1.0,0.0015
Acadia,0.001197,0.001197,0.000467,2.1957,1.1667,0.001197
Allen,0.000448,0.000448,0.000195,2.2972,1.0,0.000448
Ascension,0.001543,0.001543,0.000671,2.2985,1.0,0.001543
Assumption,0.001998,0.001998,0.000822,2.4304,1.0,0.001998
Avoyelles,0.00217,0.00217,0.000947,2.2306,1.0278,0.00217
Beauregard,0.001123,0.001123,0.000507,2.2166,1.0,0.001123
Bienville,0.001545,0.001545,0.00068,2.2725,1.0,0.001545
Bossier,0.002541,0.002541,0.001094,2.3225,1.0,0.002541
Caddo,0.001942,0.001942,0.000841,2.3088,1.0,0.001942
Calcasieu,0.001507,0.001507,0.000659,2.2879,1.0,0.001507
Caldwell,0.000466,0.000466,0.000202,2.3126,1.0,0.000466
Cameron,0.000318,0.000318,0.000143,2.2202,1.0,0.000318
Catahoula,0.004257,0.004257,0.000948,2.2453,2.0,0.004257
Claiborne,0.001031,0.001031,0.000447,2.3076,1.0,0.001031
Concordia,0.00271,0.00271,0.001142,2.2593,1.05,0.00271
De Soto,0.002003,0.002003,0.000874,2.2919,1.0,0.002003
East Baton Rouge,0.00177,0.00177,0.00082,2.1582,1.0,0.00177
East Carroll,0.001614,0.001614,0.000729,2.2148,1.0,0.001614
East Feliciana,0.001322,0.001322,0.000575,2.2998,1.0,0.001322
Evangeline,0.000701,0.000701,0.000329,2.1281,1.0,0.000701
Franklin,0.000556,0.000556,0.00025,2.2254,1.0,0.000556
Grant,0.001226,0.001226,0.000536,2.2865,1.0,0.001226
Iberia,0.001737,0.001737,0.000702,2.3212,1.0667,0.001737
Iberville,0.001199,0.001199,0.000523,2.2932,1.0,0.001199
Jackson,0.002795,0.002795,0.001143,2.3011,1.0625,0.002795
Jefferson,0.001029,0.001029,0.000444,2.3176,1.0,0.001029
Jefferson Davis,0.002098,0.002098,0.000478,2.1937,2.0,0.002098
Lafayette,0.001333,0.001333,0.000573,2.3273,1.0,0.001333
Lafourche,0.003385,0.003385,0.001424,2.3772,1.0,0.003385
LaSalle,0.000744,0.000744,0.000336,2.2148,1.0,0.000744
Lincoln,0.006402,0.006402,0.001348,2.3751,2.0,0.006402
Livingston,0.001008,0.001008,0.00044,2.2879,1.0,0.001008
Madison,0.002836,0.002836,0.000731,2.2184,1.75,0.002836
Morehouse,0.002016,0.002016,0.000804,2.2437,1.1176,0.002016
Natchitoches,0.001441,0.001441,0.000472,2.1557,1.4167,0.001441
Orleans,0.002096,0.002096,0.0007,2.2906,1.3077,0.002096
Ouachita,0.002009,0.002009,0.000881,2.281,1.0,0.002009
Plaquemines,0.001252,0.001252,0.000517,2.4194,1.0,0.001252
Pointe Coupee,0.002325,0.002325,0.000966,2.4061,1.0,0.002325
Rapides,0.001844,0.001844,0.000794,2.3212,1.0,0.001844
Red River,0.00206,0.00206,0.000829,2.4843,1.0,0.00206
Richland,0.005563,0.005563,0.001888,2.3088,1.2759,0.005563
Sabine,0.000905,0.000905,0.000419,2.1606,1.0,0.000905
St. Bernard,0.002489,0.002489,0.000783,2.3834,1.3333,0.002489
St. Charles,0.004484,0.004484,0.000979,2.2892,2.0,0.004484
St. Helena,0.000675,0.000675,0.000296,2.2796,1.0,0.000675
St. James,0.000974,0.000974,0.000427,2.2838,1.0,0.000974
St. John the Baptist,0.002491,0.002491,0.000864,2.3237,1.2414,0.002491
St. Landry,0.001763,0.001763,0.000816,2.1606,1.0,0.001763
St. Martin,0.00129,0.00129,0.000543,2.3772,1.0,0.00129
St. Mary,0.003074,0.003074,0.000932,2.3447,1.4062,0.003074
St. Tammany,0.001057,0.001057,0.000461,2.2932,1.0,0.001057
Tangipahoa,0.000787,0.000787,0.000349,2.2563,1.0,0.000787
Tensas,0.006147,0.006147,0.001384,2.2202,2.0,0.006147
Terrebonne,0.002006,0.002006,0.000842,2.3823,1.0,0.002006
Union,0.001021,0.001021,0.000407,2.1937,1.1429,0.001021
Vermilion,0.001076,0.001076,0.000471,2.2865,1.0,0.001076
Vernon,0.000708,0.000708,0.000316,2.2389,1.0,0.000708
Washington,0.001909,0.001909,0.000823,2.3212,1.0,0.001909
Webster,0.001167,0.001167,0.000522,2.2372,1.0,0.001167
West Baton Rouge,0.00163,0.00163,0.000718,2.2711,1.0,0.00163
West Carroll,0.004426,0.004426,0.001385,2.2824,1.4,0.004426
West Feliciana,0.001362,0.001362,0.000578,2.3559,1.0,0.001362
Winn,0.001727,0.001727,0.000647,2.6681,1.0,0.001727
