Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001847,0.001847,0.000798,2.2682,1.0207,0.001847
Adams,0.001378,0.001378,0.000614,2.2453,1.0,0.001378
Allen,0.002516,0.002516,0.001016,2.4761,1.0,0.002516
Ashland,0.001876,0.001876,0.000729,2.2339,1.1515,0.001876
Ashtabula,0.002078,0.002078,0.000895,2.2959,1.0118,0.002078
Athens,0.002028,0.002028,0.000888,2.2838,1.0,0.002028
Auglaize,0.003124,0.003124,0.001139,2.3667,1.1591,0.003124
Belmont,0.001631,0.001631,0.000687,2.3762,1.0,0.001631
Brown,0.002631,0.002631,0.001105,2.2289,1.0682,0.002631
Butler,0.001406,0.001406,0.000619,2.2725,1.0,0.001406
Carroll,0.002438,0.002438,0.000669,2.3592,1.5455,0.002438
Champaign,0.001392,0.001392,0.000566,2.3424,1.05,0.001392
Clark,0.001907,0.001907,0.000768,2.2389,1.1087,0.001907
Clermont,0.001649,0.001649,0.000722,2.2851,1.0,0.001649
Clinton,0.002002,0.002002,0.000905,2.2111,1.0,0.002002
Columbiana,0.003344,0.003344,0.00108,2.2166,1.3974,0.003344
Coshocton,0.001196,0.001196,0.000492,2.2879,1.0625,0.001196
Crawford,0.001358,0.001358,0.000602,2.2532,1.0,0.001358
Cuyahoga,0.002538,0.002538,0.000997,2.2959,1.1091,0.002538
Darke,0.001686,0.001686,0.000724,2.2638,1.0286,0.001686
Defiance,0.000952,0.000952,0.00042,2.2653,1.0,0.000952
Delaware,0.001411,0.001411,0.000612,2.3063,1.0,0.001411
Erie,0.001836,0.001836,0.000768,2.3063,1.037,0.001836
Fairfield,0.001387,0.001387,0.000609,2.2768,1.0,0.001387
Fayette,0.001638,0.001638,0.000666,2.1855,1.125,0.001638
Franklin,0.001572,0.001572,0.000648,2.2754,1.0663,0.001572
Fulton,0.003469,0.003469,0.001472,2.357,1.0,0.003469
Gallia,0.003333,0.003333,0.001438,2.3176,1.0,0.003333
Geauga,0.002095,0.002095,0.000662,2.2824,1.3864,0.002095
Greene,0.001903,0.001903,0.000752,2.3101,1.0957,0.001903
Guernsey,0.002152,0.002152,0.000849,2.2972,1.1034,0.002152
Hamilton,0.001497,0.001497,0.000657,2.2796,1.0,0.001497
Hancock,0.007805,0.007805,0.001808,2.3176,1.863,0.007805
Hardin,0.001684,0.001684,0.000733,2.2959,1.0,0.001684
Harrison,0.001938,0.001938,0.000864,2.2421,1.0,0.001938
Henry,0.008583,0.008583,0.001925,2.2725,1.9615,0.008583
Highland,0.001144,0.001144,0.00051,2.2453,1.0,0.001144
Hocking,0.002014,0.002014,0.000849,2.372,1.0,0.002014
Holmes,0.003948,0.003948,0.000864,2.2838,2.0,0.003948
Huron,0.001232,0.001232,0.000463,2.2501,1.1818,0.001232
Jackson,0.003754,0.003754,0.001234,2.3401,1.3,0.003754
Jefferson,0.002204,0.002204,0.000842,2.2782,1.1489,0.002204
Knox,0.000985,0.000985,0.000433,2.274,1.0,0.000985
Lake,0.001846,0.001846,0.00076,2.274,1.0675,0.001846
Lawrence,0.004588,0.004588,0.001816,2.5261,1.0,0.004588
Licking,0.001929,0.001929,0.000758,2.3355,1.0902,0.001929
Logan,0.004231,0.004231,0.000963,2.3492,1.8696,0.004231
Lorain,0.002913,0.002913,0.001139,2.3024,1.1104,0.002913
Lucas,0.001944,0.001944,0.00074,2.3024,1.1408,0.001944
Madison,0.001796,0.001796,0.000626,2.3378,1.2273,0.001796
Mahoning,0.003253,0.003253,0.00115,2.2563,1.2536,0.003253
Marion,0.001678,0.001678,0.000737,2.2754,1.0,0.001678
Medina,0.002106,0.002106,0.000907,2.3225,1.0,0.002106
Meigs,0.00303,0.00303,0.001266,2.3076,1.037,0.00303
Mercer,0.001952,0.001952,0.000826,2.2919,1.0312,0.001952
Miami,0.002031,0.002031,0.00086,2.3613,1.0,0.002031
Monroe,0.005206,0.005206,0.001611,2.462,1.3125,0.005206
Montgomery,0.002612,0.002612,0.000969,2.3188,1.1629,0.002612
Morgan,0.003826,0.003826,0.000758,2.5231,2.0,0.003826
Morrow,0.000883,0.000883,0.00034,2.3635,1.1,0.000883
Muskingum,0.004758,0.004758,0.001461,2.4745,1.3158,0.004758
Noble,0.002891,0.002891,0.000624,2.3163,2.0,0.002891
Ottawa,0.002082,0.002082,0.000814,2.2372,1.1429,0.002082
Paulding,0.001739,0.001739,0.000589,2.3613,1.25,0.001739
Perry,0.002178,0.002178,0.000803,2.5201,1.0769,0.002178
Pickaway,0.001221,0.001221,0.000565,2.163,1.0,0.001221
Pike,0.000644,0.000644,0.000288,2.2372,1.0,0.000644
