Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001313,0.001313,0.000594,2.2111,1.0,0.001313
Dukes and Nantucket,Unknown,Unknown,0.000278,2.2111,1.1667,0.000718
Barnstable,Unknown,Unknown,0.000587,2.2289,1.0333,0.001352
Berkshire,0.001993,0.001993,0.000888,2.2437,1.0,0.001993
Bristol,0.001118,0.001118,0.000494,2.2653,1.0,0.001118
Essex,0.001017,0.001017,0.000463,2.1977,1.0,0.001017
Franklin,0.000691,0.000691,0.000313,2.2055,1.0,0.000691
Hampden,0.001384,0.001384,0.000626,2.2111,1.0,0.001384
Hampshire,0.000777,0.000777,0.000354,2.1917,1.0,0.000777
Middlesex,0.00106,0.00106,0.000476,2.2271,1.0,0.00106
Norfolk,0.000975,0.000975,0.00044,2.2166,1.0,0.000975
Plymouth,0.001085,0.001085,0.000485,2.2356,1.0,0.001085
Suffolk,0.001024,0.001024,0.000464,2.2074,1.0,0.001024
Worcester,0.001107,0.001107,0.000497,2.2271,1.0,0.001107
