Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.00133,0.00133,0.000578,2.2532,1.0202,0.00133
Bernalillo,0.001395,0.001395,0.000589,2.2323,1.0612,0.001395
Catron,0.000639,0.000639,0.000284,2.2532,1.0,0.000639
Chaves,0.000931,0.000931,0.000325,2.148,1.3333,0.000931
Cibola,0.00564,0.00564,0.001425,2.2469,1.7619,0.00564
Colfax,0.000566,0.000566,0.000251,2.2532,1.0,0.000566
Curry,0.002337,0.002337,0.000715,2.2111,1.4783,0.002337
De Baca,0.003867,0.003867,0.001716,2.2532,1.0,0.003867
Dona Ana,0.002582,0.002582,0.000577,2.2892,1.9531,0.002582
Eddy,0.000379,0.000379,0.000171,2.2148,1.0,0.000379
Grant,0.003756,0.003756,0.001259,2.2593,1.32,0.003756
Guadalupe,0.003144,0.003144,0.001395,2.2532,1.0,0.003144
Harding,0.003605,0.003605,0.0016,2.2532,1.0,0.003605
Hidalgo,0.000533,0.000533,0.000238,2.2356,1.0,0.000533
Lea,0.000729,0.000729,0.000324,2.2532,1.0,0.000729
Lincoln,0.002965,0.002965,0.000664,2.2323,2.0,0.002965
Los Alamos,0.000221,0.000221,0.000103,2.1426,1.0,0.000221
Luna,0.00108,0.00108,0.000253,2.1341,2.0,0.00108
McKinley,0.003954,0.003954,0.001653,2.3914,1.0,0.003954
Mora,0.001003,0.001003,0.000442,2.2667,1.0,0.001003
Otero,0.000961,0.000961,0.0004,2.2166,1.0833,0.000961
Quay,0.00197,0.00197,0.000727,2.1678,1.25,0.00197
Rio Arriba,0.001585,0.001585,0.000668,2.372,1.0,0.001585
Roosevelt,0.004109,0.004109,0.000919,2.2356,2.0,0.004109
Sandoval,0.001323,0.001323,0.000586,2.2578,1.0,0.001323
San Juan,0.002007,0.002007,0.000758,2.2485,1.1772,0.002007
San Miguel,0.000883,0.000883,0.000367,2.1398,1.125,0.000883
Santa Fe,0.001027,0.001027,0.000452,2.2711,1.0,0.001027
Sierra,0.000973,0.000973,0.000463,2.1008,1.0,0.000973
Socorro,0.003241,0.003241,0.000781,2.074,2.0,0.003241
Taos,0.000499,0.000499,0.000214,2.3344,1.0,0.000499
Torrance,0.00073,0.00073,0.000323,2.2563,1.0,0.00073
Union,0.00111,0.00111,0.000493,2.2532,1.0,0.00111
Valencia,0.0009,0.0009,0.000404,2.2271,1.0,0.0009
