Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001666,0.001666,0.000726,2.293,1.0,0.001666
Adjuntas,0.00175,0.00175,0.000749,2.3375,1.0,0.00175
Aguada,0.001078,0.001078,0.000491,2.1975,1.0,0.001078
Aguadilla,0.010121,0.010121,0.002188,2.3123,2.0,0.010121
Aguas Buenas,0.004321,0.004321,0.000967,2.2337,2.0,0.004321
Aibonito,0.003743,0.003743,0.001131,2.3444,1.4118,0.003743
Anasco,0.001701,0.001701,0.000688,2.4724,1.0,0.001701
Arecibo,Unknown,Unknown,0.003575,2.237,2.0,0.015993
Arroyo,0.002529,0.002529,0.001102,2.2943,1.0,0.002529
Barceloneta,0.000807,0.000807,0.000379,2.128,1.0,0.000807
Barranquitas,0.001646,0.001646,0.000577,2.4724,1.1538,0.001646
Bayamon,0.001465,0.001465,0.00065,2.2545,1.0,0.001465
Cabo Rojo,0.006706,0.006706,0.001663,2.2235,1.814,0.006706
Caguas,0.00295,0.00295,0.000923,2.3556,1.3571,0.00295
Camuy,0.001276,0.001276,0.000557,2.2903,1.0,0.001276
Canovanas,0.000946,0.000946,0.000403,2.3478,1.0,0.000946
Carolina,0.001635,0.001635,0.000701,2.3329,1.0,0.001635
Catano,0.00199,0.00199,0.000822,2.2876,1.0588,0.00199
Cayey,0.002363,0.002363,0.000731,2.3706,1.3636,0.002363
Ceiba,0.003028,0.003028,0.000825,2.293,1.6,0.003028
Ciales,0.002351,0.002351,0.000949,2.4774,1.0,0.002351
Cidra,0.00469,0.00469,0.001018,2.3035,2.0,0.00469
Coamo,0.002972,0.002972,0.000704,2.2723,1.8571,0.002972
Comerio,0.005092,0.005092,0.001341,2.3737,1.6,0.005092
Corozal,0.002904,0.002904,0.001146,2.253,1.125,0.002904
Culebra,Unknown,Unknown,0.000583,2.293,1.0,0.001338
Dorado,0.001524,0.001524,0.000692,2.2034,1.0,0.001524
Fajardo,0.006024,0.006024,0.001562,2.4,1.6071,0.006024
Florida,0.00208,0.00208,0.000884,2.3545,1.0,0.00208
Guanica,0.013638,0.013638,0.00312,2.1853,2.0,0.013638
Guayama,0.003835,0.003835,0.001039,2.3073,1.6,0.003835
Guayanilla,0.001474,0.001474,0.000624,2.361,1.0,0.001474
Guaynabo,0.001611,0.001611,0.000717,2.2483,1.0,0.001611
Gurabo,0.001703,0.001703,0.00068,2.2635,1.1071,0.001703
Hatillo,0.001333,0.001333,0.000612,2.1789,1.0,0.001333
Hormigueros,0.001326,0.001326,0.00058,2.2863,1.0,0.001326
Humacao,0.005921,0.005921,0.00156,2.2876,1.6596,0.005921
Isabela,0.004504,0.004504,0.000965,2.3341,2.0,0.004504
Jayuya,0.004486,0.004486,0.001584,2.293,1.2353,0.004486
Juana Diaz,0.001544,0.001544,0.000694,2.2252,1.0,0.001544
Juncos,0.002379,0.002379,0.000996,2.3891,1.0,0.002379
Lajas,0.001376,0.001376,0.000636,2.1629,1.0,0.001376
Lares,0.002995,0.002995,0.001195,2.3282,1.0769,0.002995
Las Marias,0.005061,0.005061,0.001135,2.2287,2.0,0.005061
Las Piedras,0.005962,0.005962,0.001297,2.2983,2.0,0.005962
Loiza,0.000627,0.000627,0.000285,2.1975,1.0,0.000627
Luquillo,0.001032,0.001032,0.000453,2.2794,1.0,0.001032
Manati,0.002673,0.002673,0.0011,2.2483,1.0811,0.002673
Maricao,0.00086,0.00086,0.000368,2.3341,1.0,0.00086
Maunabo,0.003339,0.003339,0.000775,2.4616,1.75,0.003339
Mayaguez,0.00097,0.00097,0.000433,2.2387,1.0,0.00097
Moca,0.003483,0.003483,0.00129,2.2708,1.1892,0.003483
Morovis,0.000977,0.000977,0.000429,2.2794,1.0,0.000977
Naguabo,0.001612,0.001612,0.000699,2.3073,1.0,0.001612
Naranjito,0.001265,0.001265,0.000548,2.306,1.0,0.001265
Orocovis,0.003331,0.003331,0.000742,2.2451,2.0,0.003331
Patillas,0.003678,0.003678,0.001542,2.3851,1.0,0.003678
Penuelas,0.004505,0.004505,0.001299,2.3123,1.5,0.004505
Ponce,0.005017,0.005017,0.001304,2.3621,1.6286,0.005017
Quebradillas,0.001608,0.001608,0.000698,2.3035,1.0,0.001608
Rincon,0.000672,0.000672,0.000293,2.2943,1.0,0.000672
Rio Grande,0.001769,0.001769,0.000666,2.3123,1.1481,0.001769
Sabana Grande,0.002214,0.002214,0.000967,2.289,1.0,0.002214
