Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001244,0.001244,0.00055,2.2608,1.0,0.001244
Adams,0.003435,0.003435,0.001029,2.2254,1.5,0.003435
Allegheny,0.001325,0.001325,0.000575,2.305,1.0,0.001325
Armstrong,0.001397,0.001397,0.000602,2.3188,1.0,0.001397
Beaver,0.001143,0.001143,0.000476,2.4013,1.0,0.001143
Bedford,0.000794,0.000794,0.000355,2.2372,1.0,0.000794
Berks,0.001146,0.001146,0.000494,2.3212,1.0,0.001146
Blair,0.001353,0.001353,0.000591,2.2892,1.0,0.001353
Bradford,0.002208,0.002208,0.000945,2.2532,1.037,0.002208
Bucks,0.001009,0.001009,0.000444,2.2711,1.0,0.001009
Butler,0.001632,0.001632,0.000697,2.3401,1.0,0.001632
Cambria,0.006179,0.006179,0.001529,2.2254,1.8165,0.006179
Cameron,0.010804,0.010804,0.002249,2.4023,2.0,0.010804
Carbon,0.001324,0.001324,0.000576,2.2972,1.0,0.001324
Centre,0.001783,0.001783,0.00077,2.3163,1.0,0.001783
Chester,0.000779,0.000779,0.000343,2.2725,1.0,0.000779
Clarion,0.002134,0.002134,0.000728,2.2782,1.2857,0.002134
Clearfield,0.001782,0.001782,0.00077,2.3151,1.0,0.001782
Clinton,0.002055,0.002055,0.00088,2.3355,1.0,0.002055
Columbia,0.002008,0.002008,0.000862,2.3296,1.0,0.002008
Crawford,0.003295,0.003295,0.001288,2.3688,1.08,0.003295
Cumberland,0.000775,0.000775,0.000335,2.3101,1.0,0.000775
Dauphin,0.000848,0.000848,0.00037,2.2906,1.0,0.000848
Delaware,0.001039,0.001039,0.000457,2.2725,1.0,0.001039
Elk,0.001579,0.001579,0.000669,2.3613,1.0,0.001579
Erie,0.002006,0.002006,0.000812,2.3237,1.0634,0.002006
Fayette,0.001628,0.001628,0.000696,2.3378,1.0,0.001628
Forest,0.001538,0.001538,0.00069,2.2289,1.0,0.001538
Franklin,0.001305,0.001305,0.000581,2.2485,1.0,0.001305
Fulton,0.000639,0.000639,0.000275,2.3225,1.0,0.000639
Greene,0.001849,0.001849,0.000662,2.3063,1.2105,0.001849
Huntingdon,0.001339,0.001339,0.000598,2.2389,1.0,0.001339
Indiana,0.005237,0.005237,0.001154,2.2696,2.0,0.005237
Jefferson,0.00261,0.00261,0.000967,2.3037,1.1714,0.00261
Juniata,0.000359,0.000359,0.000162,2.2219,1.0,0.000359
Lackawanna,0.001497,0.001497,0.000658,2.274,1.0,0.001497
Lancaster,0.001188,0.001188,0.000522,2.2754,1.0,0.001188
Lawrence,0.000872,0.000872,0.000386,2.2608,1.0,0.000872
Lebanon,0.001606,0.001606,0.000705,2.2768,1.0,0.001606
Lehigh,0.00097,0.00097,0.000431,2.2532,1.0,0.00097
Luzerne,0.00151,0.00151,0.000649,2.3273,1.0,0.00151
Lycoming,0.002151,0.002151,0.000918,2.3436,1.0,0.002151
McKean,0.000589,0.000589,0.000246,2.3934,1.0,0.000589
Mercer,0.001775,0.001775,0.000768,2.3126,1.0,0.001775
Mifflin,0.001573,0.001573,0.000694,2.2682,1.0,0.001573
Monroe,0.000938,0.000938,0.000405,2.3139,1.0,0.000938
Montgomery,0.00083,0.00083,0.000367,2.2623,1.0,0.00083
Montour,0.002915,0.002915,0.000987,2.2578,1.3077,0.002915
Northampton,0.001116,0.001116,0.000488,2.2865,1.0,0.001116
Northumberland,0.001505,0.001505,0.00066,2.2782,1.0,0.001505
Perry,0.003125,0.003125,0.000756,2.3088,1.7895,0.003125
Philadelphia,0.00102,0.00102,0.000456,2.2372,1.0,0.00102
Pike,0.001284,0.001284,0.000538,2.3884,1.0,0.001284
Potter,0.000846,0.000846,0.000363,2.3296,1.0,0.000846
Schuylkill,0.001608,0.001608,0.000693,2.32,1.0,0.001608
Snyder,0.001946,0.001946,0.000817,2.2323,1.0667,0.001946
Somerset,0.001327,0.001327,0.000599,2.2148,1.0,0.001327
Sullivan,0.001153,0.001153,0.000495,2.3308,1.0,0.001153
Susquehanna,0.001542,0.001542,0.00067,2.3024,1.0,0.001542
Tioga,0.001456,0.001456,0.000616,2.2653,1.0435,0.001456
Union,0.001208,0.001208,0.000512,2.3592,1.0,0.001208
Venango,0.001409,0.001409,0.000612,2.3037,1.0,0.001409
Warren,0.003837,0.003837,0.001123,2.3844,1.4333,0.003837
Washington,0.001138,0.001138,0.000498,2.2851,1.0,0.001138
Wayne,0.001372,0.001372,0.000604,2.274,1.0,0.001372
Westmoreland,0.001663,0.001663,0.000714,2.3308,1.0,0.001663
Wyoming,0.001396,0.001396,0.000597,2.3378,1.0,0.001396
York,0.001218,0.001218,0.000539,2.2593,1.0,0.001218
