Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001227,0.001227,0.000553,2.22,1.0,0.001227
Alameda,0.001335,0.001335,0.000598,2.232,1.0,0.001335
Alpine,0.001771,0.001771,0.000886,2.0,1.0,0.001771
Amador,0.000757,0.000757,0.000352,2.1504,1.0,0.000757
Butte,0.000525,0.000525,0.000237,2.2146,1.0,0.000525
Calaveras,0.000835,0.000835,0.00037,2.2545,1.0,0.000835
Colusa,0.001888,0.001888,0.000789,2.2435,1.0667,0.001888
Contra Costa,0.001388,0.001388,0.000617,2.2483,1.0,0.001388
Del Norte,0.000621,0.000621,0.000288,2.1605,1.0,0.000621
El Dorado,0.001012,0.001012,0.000363,2.2217,1.2545,0.001012
Fresno,0.001291,0.001291,0.000546,2.2146,1.0665,0.001291
Glenn,0.000387,0.000387,0.000176,2.1955,1.0,0.000387
Humboldt,0.000974,0.000974,0.000258,2.2182,1.7,0.000974
Imperial,0.002477,0.002477,0.000949,2.2737,1.1477,0.002477
Inyo,0.000723,0.000723,0.000333,2.1745,1.0,0.000723
Kern,0.002098,0.002098,0.000775,2.1975,1.2314,0.002098
Kings,0.001034,0.001034,0.000432,2.1745,1.1017,0.001034
Lake,0.000911,0.000911,0.000357,2.2014,1.1579,0.000911
Lassen,0.000839,0.000839,0.000196,2.1369,2.0,0.000839
Los Angeles,0.001429,0.001429,0.000653,2.1895,1.0,0.001429
Madera,0.002329,0.002329,0.000636,2.2576,1.623,0.002329
Marin,0.00129,0.00129,0.000568,2.2708,1.0,0.00129
Mariposa,0.000581,0.000581,0.000291,2.0,1.0,0.000581
Mendocino,0.001064,0.001064,0.000392,2.2217,1.2222,0.001064
Merced,0.00391,0.00391,0.000879,2.2708,1.9597,0.00391
Modoc,0.000519,0.000519,0.000226,2.2943,1.0,0.000519
Mono,0.000966,0.000966,0.000415,2.3246,1.0,0.000966
Monterey,0.000914,0.000914,0.000405,2.2545,1.0,0.000914
Napa,0.000917,0.000917,0.000414,2.2164,1.0,0.000917
Nevada,0.000792,0.000792,0.000281,2.1935,1.2857,0.000792
Orange,0.001167,0.001167,0.000525,2.2252,1.0,0.001167
Placer,0.000946,0.000946,0.000422,2.2419,1.0,0.000946
Plumas,0.000106,0.000106,5.3e-05,2.0,1.0,0.000106
Riverside,0.000812,0.000812,0.000362,2.2419,1.0,0.000812
Sacramento,0.001446,0.001446,0.000608,2.2467,1.0596,0.001446
San Benito,0.000824,0.000824,0.000382,2.1555,1.0,0.000824
San Bernardino,0.000925,0.000925,0.00041,2.2164,1.0182,0.000925
San Diego,0.00112,0.00112,0.000511,2.1895,1.0,0.00112
San Francisco,0.001512,0.001512,0.000674,2.2435,1.0,0.001512
San Joaquin,0.00142,0.00142,0.000566,2.2419,1.1198,0.00142
San Luis Obispo,0.001119,0.001119,0.000399,2.2269,1.2584,0.001119
San Mateo,0.00134,0.00134,0.0006,2.2337,1.0,0.00134
Santa Barbara,0.000663,0.000663,0.000305,2.1767,1.0,0.000663
Santa Clara,0.001374,0.001374,0.000618,2.2217,1.0,0.001374
Santa Cruz,0.001989,0.001989,0.000655,2.1832,1.3906,0.001989
Shasta,0.000767,0.000767,0.000233,2.1653,1.5185,0.000767
Sierra,0.000666,0.000666,0.000333,2.0,1.0,0.000666
Siskiyou,0.0003,0.0003,0.000138,2.1745,1.0,0.0003
Solano,0.002164,0.002164,0.000804,2.2635,1.1887,0.002164
Sonoma,0.001057,0.001057,0.000471,2.2435,1.0,0.001057
Stanislaus,0.001296,0.001296,0.000574,2.2514,1.0032,0.001296
Sutter,0.000933,0.000933,0.000423,2.2072,1.0,0.000933
Tehama,0.000798,0.000798,0.000277,2.2072,1.3077,0.000798
Trinity,0.000488,0.000488,0.000244,2.0,1.0,0.000488
Tulare,0.001203,0.001203,0.000536,2.2435,1.0,0.001203
Tuolumne,0.001854,0.001854,0.000808,2.2419,1.0238,0.001854
Ventura,0.000717,0.000717,0.000325,2.2072,1.0,0.000717
Yolo,0.000732,0.000732,0.000331,2.2109,1.0,0.000732
Yuba,0.001322,0.001322,0.000521,2.22,1.1429,0.001322
