Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.000257,0.000257,0.00011,2.3344,1.0,0.000257
Adams,0.001053,0.001053,0.000451,2.3344,1.0,0.001053
Barnes,0.00064,0.00064,0.000288,2.2202,1.0,0.00064
Benson,0.00034,0.00034,0.000146,2.3261,1.0,0.00034
Billings,0.002515,0.002515,0.001078,2.3344,1.0,0.002515
Bottineau,0.001115,0.001115,0.000478,2.3344,1.0,0.001115
Bowman,0.000772,0.000772,0.000331,2.3344,1.0,0.000772
Burke,0.001104,0.001104,0.000473,2.3344,1.0,0.001104
Burleigh,0.000261,0.000261,0.000115,2.2725,1.0,0.000261
Cass,0.00019,0.00019,8.2e-05,2.3101,1.0,0.00019
Cavalier,0.000606,0.000606,0.000266,2.2796,1.0,0.000606
Dickey,0.000479,0.000479,0.000205,2.3344,1.0,0.000479
Divide,0.001031,0.001031,0.000442,2.3344,1.0,0.001031
Dunn,0.000502,0.000502,0.000226,2.2202,1.0,0.000502
Eddy,0.001021,0.001021,0.000437,2.3344,1.0,0.001021
Emmons,0.001441,0.001441,0.000617,2.3344,1.0,0.001441
Foster,0.002311,0.002311,0.000935,2.4728,1.0,0.002311
Golden Valley,0.001326,0.001326,0.000568,2.3344,1.0,0.001326
Grand Forks,0.000312,0.000312,0.00013,2.409,1.0,0.000312
Grant,0.001027,0.001027,0.00044,2.3344,1.0,0.001027
Griggs,0.001046,0.001046,0.000448,2.3344,1.0,0.001046
Hettinger,0.000934,0.000934,0.0004,2.3344,1.0,0.000934
Kidder,0.000941,0.000941,0.000403,2.3344,1.0,0.000941
LaMoure,0.000577,0.000577,0.000247,2.3344,1.0,0.000577
Logan,0.001262,0.001262,0.000541,2.3344,1.0,0.001262
McHenry,0.000813,0.000813,0.000348,2.3344,1.0,0.000813
McIntosh,0.000935,0.000935,0.0004,2.3344,1.0,0.000935
McKenzie,0.000149,0.000149,6.7e-05,2.2356,1.0,0.000149
McLean,0.000741,0.000741,0.000317,2.3344,1.0,0.000741
Mercer,0.000294,0.000294,0.000122,2.4052,1.0,0.000294
Morton,8e-05,8e-05,3.2e-05,2.497,1.0,8e-05
Mountrail,0.000443,0.000443,0.00019,2.3344,1.0,0.000443
Nelson,0.000811,0.000811,0.000347,2.3344,1.0,0.000811
Oliver,0.001192,0.001192,0.00051,2.3344,1.0,0.001192
Pembina,0.000718,0.000718,0.000294,2.4421,1.0,0.000718
Pierce,0.000582,0.000582,0.000252,2.3126,1.0,0.000582
Ramsey,0.000201,0.000201,8.7e-05,2.3163,1.0,0.000201
Ransom,0.001377,0.001377,0.000575,2.3954,1.0,0.001377
Renville,0.001003,0.001003,0.00043,2.3344,1.0,0.001003
Richland,0.000274,0.000274,0.000124,2.2148,1.0,0.000274
Rolette,0.001461,0.001461,0.000564,2.5885,1.0,0.001461
Sargent,0.001288,0.001288,0.000513,2.5102,1.0,0.001288
Sheridan,0.001775,0.001775,0.00076,2.3344,1.0,0.001775
Sioux,0.001702,0.001702,0.000709,2.3993,1.0,0.001702
Slope,0.003112,0.003112,0.001333,2.3344,1.0,0.003112
Stark,0.00015,0.00015,6.4e-05,2.3635,1.0,0.00015
Steele,0.001235,0.001235,0.000529,2.3344,1.0,0.001235
Stutsman,0.00057,0.00057,0.000241,2.3613,1.0,0.00057
Towner,0.002133,0.002133,0.000914,2.3344,1.0,0.002133
Traill,0.000581,0.000581,0.000249,2.3344,1.0,0.000581
Walsh,0.001414,0.001414,0.000564,2.5071,1.0,0.001414
Ward,0.000263,0.000263,0.000118,2.2202,1.0,0.000263
Wells,0.001218,0.001218,0.000522,2.3344,1.0,0.001218
Williams,0.000433,0.000433,0.000186,2.3237,1.0,0.000433
