Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001939,0.001939,0.00067,2.45,1.1818,0.001939
Kansas City,Unknown,Unknown,0.000538,2.45,1.2243,0.001613
Adair,0.000787,0.000787,0.000355,2.2148,1.0,0.000787
Andrew,0.002912,0.002912,0.000678,2.7355,1.5714,0.002912
Atchison,0.000476,0.000476,0.000194,2.45,1.0,0.000476
Audrain,0.003635,0.003635,0.000748,2.4286,2.0,0.003635
Barry,0.003008,0.003008,0.000643,2.5529,1.8333,0.003008
Barton,0.001485,0.001485,0.000596,2.4939,1.0,0.001485
Bates,0.000435,0.000435,0.000186,2.3424,1.0,0.000435
Benton,0.001752,0.001752,0.000669,2.4023,1.0909,0.001752
Bollinger,0.000884,0.000884,0.000412,2.1453,1.0,0.000884
Boone,0.001992,0.001992,0.000776,2.3646,1.0859,0.001992
Buchanan,0.002331,0.002331,0.000527,2.6563,1.6667,0.002331
Butler,0.001743,0.001743,0.000777,2.2437,1.0,0.001743
Caldwell,0.00163,0.00163,0.000443,2.45,1.5,0.00163
Callaway,0.006764,0.006764,0.00143,2.3646,2.0,0.006764
Camden,0.001885,0.001885,0.000475,2.2667,1.75,0.001885
Cape Girardeau,0.001289,0.001289,0.000444,2.2219,1.3077,0.001289
Carroll,0.002532,0.002532,0.000922,2.7471,1.0,0.002532
Carter,0.006143,0.006143,0.002508,2.45,1.0,0.006143
Cass,0.001282,0.001282,0.000425,2.3974,1.2571,0.001282
Cedar,0.007854,0.007854,0.001603,2.45,2.0,0.007854
Chariton,0.00066,0.00066,0.000269,2.45,1.0,0.00066
Christian,0.002103,0.002103,0.000598,2.5017,1.4054,0.002103
Clark,0.001081,0.001081,0.000441,2.45,1.0,0.001081
Clay,0.00071,0.00071,0.000244,2.5208,1.1538,0.00071
Clinton,0.00073,0.00073,0.000294,2.4794,1.0,0.00073
Cole,0.011587,0.011587,0.002385,2.4295,2.0,0.011587
Cooper,0.000952,0.000952,0.000395,2.409,1.0,0.000952
Crawford,0.003919,0.003919,0.001087,2.5958,1.3889,0.003919
Dade,0.00243,0.00243,0.000794,2.45,1.25,0.00243
Dallas,0.002752,0.002752,0.000592,2.3225,2.0,0.002752
Daviess,0.00296,0.00296,0.000604,2.45,2.0,0.00296
DeKalb,0.000781,0.000781,0.000319,2.45,1.0,0.000781
Dent,0.001923,0.001923,0.000706,2.7221,1.0,0.001923
Douglas,0.001115,0.001115,0.000228,2.45,2.0,0.001115
Dunklin,0.00118,0.00118,0.000446,2.6443,1.0,0.00118
Franklin,0.00128,0.00128,0.000539,2.3772,1.0,0.00128
Gasconade,0.002328,0.002328,0.000612,2.3772,1.6,0.002328
Gentry,0.001598,0.001598,0.000609,2.6252,1.0,0.001598
Greene,0.001357,0.001357,0.000519,2.5133,1.0414,0.001357
Grundy,0.004975,0.004975,0.001015,2.45,2.0,0.004975
Harrison,0.000293,0.000293,0.00012,2.45,1.0,0.000293
Henry,0.00143,0.00143,0.000412,2.1678,1.6,0.00143
Hickory,0.001284,0.001284,0.000524,2.45,1.0,0.001284
Holt,0.000556,0.000556,0.000227,2.45,1.0,0.000556
Howard,0.007349,0.007349,0.0016,2.45,1.875,0.007349
Howell,0.001437,0.001437,0.000499,2.5791,1.1176,0.001437
Iron,0.00121,0.00121,0.000494,2.45,1.0,0.00121
Jackson,0.001077,0.001077,0.000454,2.3741,1.0,0.001077
Jasper,0.001487,0.001487,0.00061,2.4385,1.0,0.001487
Jefferson,0.001765,0.001765,0.000662,2.45,1.0882,0.001765
Johnson,0.001808,0.001808,0.000499,2.3667,1.5294,0.001808
Knox,0.003306,0.003306,0.001516,2.1812,1.0,0.003306
Laclede,0.001154,0.001154,0.000476,2.425,1.0,0.001154
Lafayette,0.000955,0.000955,0.000397,2.4032,1.0,0.000955
Lawrence,0.0009,0.0009,0.000365,2.4645,1.0,0.0009
Lewis,0.001797,0.001797,0.000716,2.5102,1.0,0.001797
Lincoln,0.00137,0.00137,0.000508,2.4157,1.1154,0.00137
Linn,0.000198,0.000198,8.4e-05,2.3613,1.0,0.000198
Livingston,0.000962,0.000962,0.000263,2.4421,1.5,0.000962
McDonald,0.00122,0.00122,0.000482,2.5334,1.0,0.00122
